TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Driver Trench To Loading Align Only Command,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Driver Loading To Trench Command,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Hopper Motor Right Cmd,Control Panel State Machine 3.25 spin,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Driver Turn 180 Deg Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Operator Controller Prep to Shoot Command,Robot Battery Current Draw,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,RIO Input Voltage,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,Ball Distance Sensor Distance,RIO 3V Supply Voltage,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Conveyor Motor Current,Color Sensor Match Color,Color Sensor Red Intensity,Drivetrain Right Wheel Desired Speed,Dataserver File Logger Queue Length,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Right Master Moter Current,Robot CAN Bus Utilization,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,Dataserver Stored Samples,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,cmd,color,cmd,deg,cmd,A,bool,A,balls,cmd,bool,A,ft,ft,mode,deg,A,A,psi,RPM,state,bool,state,A,pct,sec,pct,bool,bool,cmd,degrees,bool,state,V,bool,sec,deg,A,degrees,pct,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,bool,state,deg,RPM,V,RPM,bool,A,pct,state,sat,RPM,bool,heightState,bool,feet,bool,RPM,sec,V,bool,pct,cmd,fps,in,V,bool,bool,bool,bool,deg,bool,A,color,sat,RPM,count,deg,bool,A,bool,sat,bool,A,pct,cmd,A,V,bool,RPM,bool,count,A,deg,bool,V,state,A,bool,
112.693709,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
112.704002,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
112.653856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019329999999939673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.705029,0.0,0.0,359.27844503045037,,0.0,0.0,,0.0,0.3848219944660115,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,-0.052551541858491646,,0.0,,0.0,0.0,0.0443117618560791,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.051172999999991475,-0.8451984217904343,,,,9.212598425196813,,,,,0.0,0.0,,0.0,0.0,-0.0,0.0,0.0,-85.38183473611883,-0.0,,-0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,-9.062340509067402E9,1.0,,,,1.0,,0.0,6.570869065262142,9.212598425196813,,,0.0,0.0,0.0,-0.0729747296344376,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,1.0,0.0,,0.0,,,,0.0,0.0,,,-90.08900216814538,0.0,,0.0,0.0,0.0,
112.714287,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
112.705029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007947999999998956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.724207,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.019178000000010798,,,,,,,,,,,0.0,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
112.724624,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
112.724207,0.0,0.0,359.18634826941434,,0.0,,,0.0,0.38288487378820546,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,-0.052551541858491646,,,,0.0,0.0,0.0443117618560791,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,-0.8436647704335609,,,,9.133858267716498,,,,,0.0,,,0.0,0.0,,0.0,0.0,-85.3834456224192,-0.0,,-0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,-9.062340509067402E9,1.0,,,,1.0,,0.0,6.570869065262142,9.133858267716498,,,0.0,0.0,,-0.06957329385979655,0.0,0.0,,,0.0,,0.0,0.0,,0.0,,1.0,0.0,,0.0,,,,0.0,0.0,,,-90.08900216814538,,,0.0,0.0,0.0,
