TIME,Shooter Actual RPM,Right Intern Moter Current,Drivetrain Left Wheel Actual Speed,Battery Voltage,Distance Sensor Raw Voltage,Hopper Spark Left Current,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Shooter Desired RPM,Drivetrain Left Wheel Desired Speed,Rotate to Color,Color Needed,Shooter State Command,Raspberry Pi Duration,Right Climber Current,Pneumatics Compressor Current,Hopper Spark Left Cmd,Raspberry Pi Angle,Raspberry Pi Stable Target,Hopper Spark Right Cmd,Main Loop Process Duration,Left Climber Current,botDesPoseY,roboRIO CPU Load,botDesPoseX,Distance Sensor Available,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Climber Command,Left Master Moter Current,Pneumatics Cutoff Switch State,Drivetrain Right Motor Output Duty Cycle,Raspberry Pi Framerate,Color Sensor Match Color,Color Sensor Red Intensity,Panel 3.25 spin,Hopper Spark Right Current,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,DT_Pose_Angle,Intake Speed State,Main Loop Call Period,Shooter Motor 1 Current,Shooter Motor 2 Current,Color Sensor Green Intensity,roboRIO Sys Memory Load,Robot CAN Bus Utilization,Right Master Moter Current,Distance Sensor Distance,Photon Cannon State,Robot Brownout,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,botActPoseT,Raspberry Pi Visible Target,botActPoseX,botActPoseY,Intake Position State,Battery Current Draw,Drivetrain Left Motor output Duty Cycle,Shooter Control Mode,Climber Upper Limit Switch,
sec,RPM,Amps,RPM,V,V,Amp,Pct,boolean,intensity,RPM,RPM,degrees,Color,state,sec,Amp,A,Cmd,deg,boolean,Cmd,sec,Amp,ft,Pct,ft,bool,deg,Amps,A,psi,RPM,CMD,Amps,bool,pct,fps,color,intensity,degrees,Amp,count,RPM,deg,state,sec,A,A,intensity,Pct,pct,Amps,in,bool,bool,count,boolean,RPM,deg,boolean,ft,ft,state,A,pct,state,boolean,
125.796744,,,,,,,,,,,,,,,,,,,,,,0.05030999999999608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.887594,,,,,,,,,,,,,,,,,10.5625,,,,,,,,,,,,,,132.7239835125,,,,0.0,,,,,,,,,,,0.0908500000000032,,,,,,,,,,,,,,,,,,,,,,
125.888142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
125.887594,,91.1875,-3.3514688766445033E-6,11.45,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.5405921936035156,0.0,,0.0,-1.0,0.0,0.0,0.04970399999999131,0.0,,,,,,91.1875,,,0.0,0.0,91.1875,,-0.17188024520874023,1.9934317524863812,-1.0,0.0,0.0,0.0,42.0,0.0,0.0,,,,,0.0,,0.12212040275335312,91.1875,,,0.0,0.0,,-3.3514688766445033E-6,,0.0,,,,0.0,-0.17188024520874023,,1.0,
125.938796,,,,,,,,,,,,,,,,,9.09375,,,,,,,,,,,,,,132.7239835125,,,,0.0,,,,,,,,,,,0.05120199999998931,,,,,,,,,,,,,,,,,,,,,,
125.93896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
125.938796,,91.1875,-3.3514688766445033E-6,11.5,,0.0,,1.0,0.0,,0.0,0.0,-1.0,,0.5405921936035156,0.0,,0.0,-1.0,0.0,0.0,0.05121300000000417,0.0,,,,,,91.1875,,,0.0,0.0,91.1875,,-0.17188024520874023,1.9934317524863812,-1.0,0.0,0.0,0.0,14.0,0.0,0.0,,,,,0.0,,0.11327806115150452,91.1875,,,0.0,0.0,,-3.3514688766445033E-6,,0.0,,,,0.0,-0.17188024520874023,,1.0,
125.990876,,,,,,,,,,,,,,,,,7.15625,,,,,,,,,,,,,,132.67820715,,,,0.0,,,,,,,,,,,0.05208000000000368,,,,,,,,,,,,,,,,,,,,,,
125.991016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
