TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Driver Trench To Loading Align Only Command,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Driver Loading To Trench Command,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Hopper Motor Right Cmd,Control Panel State Machine 3.25 spin,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Driver Turn 180 Deg Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Operator Controller Prep to Shoot Command,Robot Battery Current Draw,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,RIO Input Voltage,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Match Time,Vision Raspberry Pi Framerate,Ball Distance Sensor Distance,RIO 3V Supply Voltage,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Conveyor Motor Current,Color Sensor Match Color,Color Sensor Red Intensity,Drivetrain Right Wheel Desired Speed,Dataserver File Logger Queue Length,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Right Master Moter Current,Robot CAN Bus Utilization,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,Dataserver Stored Samples,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,cmd,color,cmd,deg,cmd,A,bool,A,balls,cmd,bool,A,ft,ft,mode,deg,A,A,psi,RPM,state,bool,state,A,pct,sec,pct,bool,bool,cmd,degrees,bool,state,V,bool,sec,deg,A,degrees,pct,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,bool,state,deg,RPM,V,RPM,bool,A,pct,state,sat,RPM,bool,heightState,bool,feet,bool,RPM,sec,V,bool,pct,cmd,s,fps,in,V,bool,bool,bool,bool,deg,bool,A,color,sat,RPM,count,deg,bool,A,bool,sat,bool,A,pct,cmd,A,V,bool,RPM,bool,count,A,deg,bool,V,state,A,bool,
114.60173,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
114.565115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017670000000009622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.613394,,0.0,359.6112981141609,,0.0,,,,358.93101614045435,0.5,0.0,,,,0.0,,0.0,,,1.0,,0.0,0.0,,-0.008073372258849076,,,,0.0,0.0,0.051718711853027344,0.0,0.0,,0.5,,0.0,1.0,,,0.048278999999993744,-1.4422372269731087,,,,10.019685039370062,,,,,0.0,,,0.0,0.0,,,0.0,92.37829744933875,-0.0,,-0.0,,,,0.0,,0.008073372258849076,,0.0,,0.0,,,,,1.0,,1.0,,6.549015689017688,10.019685039370062,,,1.0,,,0.10485607944846018,0.0,0.0,,,-0.008073372258849076,,0.0,,,,,1.0,0.0,,0.0,,,,0.0,0.0,,,92.37426076320932,,,1.0,0.0,,
114.628624,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
114.650569,,,,3200.0,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
114.65122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,12.0,,,0.0,,,,,,,,,,,,10.469008544921875,,,,-1.0,,,,,,,,,,,,,,85.0,,,,,,,,0.5297147631645203,,0.0,,,,,0.0,0.0,,,,,,,
114.613394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013158000000004222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.664724,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051718711853027344,,0.0,,,,,,,,0.0513300000000072,,,,,9.999999999999982,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0,,,,6.549015689017688,9.999999999999982,,,,,,,0.0,,,,,,0.0,,,,,1.0,,,,,,,,,,,,,,,,,
114.665554,,,,3200.0,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,0.09375,,,,,,,,,,0.01422162540256977,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,
114.664724,,,6.616816496378429,,0.0,,,,4.420666577355842,0.5,24.90625,,,,0.0,,0.0,,,1.0,,0.0,67.5625,,-0.012746796605625832,,,,0.0,-6.103701889514923E-5,,0.0,,,0.5,,0.0,1.0,,,,-1.4545974846960448,,,,,,,,,0.0,,,6.103701889514923E-5,0.0,,,0.0,92.38063416151213,45.71428680419922,,-0.0,,,,0.0,,11.949367528497778,,,,0.0,,,0.004175999999986857,,,,1.0,,,,,,1.0,,,0.1298757585803333,,0.0,,,11.923873935286526,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,92.37426076320932,,,1.0,24.9375,,
114.671698,,0.0,6.616816496378429,,0.0,,,,4.420666577355842,0.5,24.90625,,,,0.0,,,,,1.0,,0.0,67.5625,,-0.012746796605625832,,,,0.0,-6.103701889514923E-5,0.051718711853027344,0.0,0.0,,0.5,,0.0,1.0,,,0.006973999999999592,-1.4545974846960448,,,,9.999999999999982,,,,,0.0,,,6.103701889514923E-5,0.0,,,,92.38063416151213,45.71428680419922,,-0.0,,,,,,11.949367528497778,,0.0,,0.0,,,,,1.0,,1.0,,6.549015689017688,9.999999999999982,,,1.0,,,0.1298757585803333,0.0,0.0,,,11.923873935286526,,0.0,,,,,1.0,0.0,,0.0,,,,0.0,0.0,,,92.37426076320932,,,1.0,24.9375,,
114.677421,,,,3200.0,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.032990507781505585,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,,0.34375,,,,,,,,,1.0,,,,,,,,,,,
114.671698,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.019586999999987142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.699208,,0.0,349.81880744268807,,0.0,,,,9.844000762471408,0.5,16.53125,,,,0.0,,0.0,,,1.0,,0.0,59.5,,0.007924720439547173,,,,22.46875,0.0947904884815216,0.051718711853027344,0.0,0.0,,0.5,,0.0,1.0,,,0.027509999999992374,-1.4429476106322232,,,,10.03937007874014,,,,,0.0,,,0.0949736014008522,0.0,,,0.0,92.37029840298955,297.1428527832031,,-0.0,,,,0.0,,15.90756958874999,,0.0,,0.0,,,,,1.0,,1.0,,6.549015689017688,10.03937007874014,,,1.0,,,0.10878322264631964,0.0,0.0,,,15.923419029629084,,0.0,,,,,1.0,20.25,,0.0,,,,0.0,0.0,,,92.37426076320932,,,1.0,17.03125,,
114.701616,,,,3200.0,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,14.84375,,,,,,,,,,0.059175390750169754,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,,6.90625,,,,,,,,,1.0,,,,,,,,,,,
114.699208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016580000000061546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.7024,,0.0,349.81880744268807,,0.0,,,,9.844000762471408,0.5,11.65625,,,,0.0,,0.0,,,1.0,,0.0,37.9375,,0.007924720439547173,,,,22.46875,0.08792382478713989,0.051718711853027344,0.0,0.0,,0.5,,0.0,1.0,,,0.0031919999999985293,-1.4429476106322232,,,,10.078740157480297,,,,,0.0,,,0.0949736014008522,0.0,,,0.0,92.37029840298955,297.1428527832031,,-0.0,,,,0.0,,19.886443166047364,,0.0,,0.0,,,0.0014359999999982165,,1.0,,1.0,,6.549015689017688,10.078740157480297,,,1.0,,,0.10878322264631964,0.0,0.0,,,19.90229260692646,,0.0,,,,,1.0,20.25,,0.0,,,,0.0,0.0,,,92.37426076320932,,,1.0,12.0625,,
114.711741,,0.0,359.84642761565044,,0.0,,,,1.2286711135122361,0.5,11.65625,,8.0,,0.0,,0.0,,,1.0,,0.0,37.9375,89.93632142857143,-0.0029845536508048554,,,,22.46875,0.08792382478713989,0.051718711853027344,0.0,0.0,,0.5,,0.0,1.0,,,0.009341000000006261,-1.4086747079422,,,,9.999999999999982,,,,,0.0,,,0.0949736014008522,0.0,,,0.0,92.37575304003472,297.1428527832031,,-0.0,,,,0.0,,19.897352440137716,,0.0,,0.0,,,,,1.0,,1.0,,6.549015689017688,9.999999999999982,,0.0,1.0,,,0.07760411843619708,0.0,0.0,,,19.891383332836106,,0.0,,,,,1.0,20.25,,0.0,,,,0.0,0.0,,,92.37426076320932,,,1.0,12.0625,,
114.717298,,,,3200.0,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,25.4375,,,,,,,,,,0.07815790176391602,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,,,29.96875,,,,,,,,,1.0,,,,,,,,,,,
114.711741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013339999999999463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.719184,,0.0,330.5193111071245,,0.0,,,,8.015620196345163,0.5,9.875,,,,0.0,,0.0,,,1.0,,0.0,37.9375,,-0.005976227741143703,,,,23.84375,0.1513412892818451,0.051718711853027344,0.0,0.0,,0.5,,0.0,1.0,,,0.007442999999994981,-1.5660041502155218,,,,9.921259842519667,,,,,0.0,,,0.1580858826637268,0.0,,,0.0,92.3772488770799,297.1428527832031,,-0.0,,,,0.0,,19.900344114228055,,0.0,,0.0,,,0.002313999999998373,,1.0,,1.0,,6.549015689017688,9.921259842519667,,,1.0,,,0.11449690461694745,0.0,0.0,,,19.888391658745768,,0.0,,,,,1.0,20.1875,,0.0,,,,1.1428571939468384,0.0,,,92.37426076320932,,,1.0,9.09375,,
114.726197,,0.0,,,,,,,,0.5,9.875,,,,,,,,,,,,,,,,,,,,0.051718711853027344,0.0,0.0,,,,0.0,,,,0.007013000000000602,,,,,9.999999999999982,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,1.0,,,,6.549015689017688,9.999999999999982,,,,,,,0.0,0.0,,,,,0.0,,,,,1.0,,,,,,,,0.0,,,,,,,9.09375,,
114.734211,,,,3200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.714285850524902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.726197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.734211,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,29.96875,,,,,,,,,,0.09674367308616638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.96875,,,,,,,,,1.0,,,,,,,,,,,
114.726197,,,317.1436517961387,,0.0,,,,347.77343834005893,,,,,,0.0,,0.0,,,1.0,,0.0,29.0,,-0.016399101831495955,,,,23.84375,0.1513412892818451,,,,,,,,1.0,,,,-1.932427121930215,,,,,,,,,0.0,,,0.1580858826637268,0.0,,,0.0,92.38246031412507,737.142822265625,,-0.0,,,,0.0,,23.889640565615807,,,,,,,0.009778999999994653,,,,1.0,,,,,,1.0,,,0.0943899431387292,,,,,23.856842361952815,,,,,,,,20.1875,,0.0,,,,1.1428571939468384,,,,92.37426076320932,,,1.0,,,
114.745089,,0.0,337.56657989333115,,35.21875,,,,340.12745573048517,0.5,10.40625,,,,0.0,,0.0,,,1.0,,38.375,17.15625,,-0.01948957592185252,,,,30.21875,0.13068026304244995,0.051718711853027344,0.0,0.0,,0.5,,0.0,1.0,,,0.018891999999993914,-2.1376107581050343,,,,10.078740157480297,,,,,0.0,,,0.1273232251405716,0.0,,,0.0,92.38400555117025,737.142822265625,,5.142857551574707,,,,0.0,,27.871604617003506,,0.0,,0.0,,,,,1.0,,1.0,,6.549015689017688,10.078740157480297,,,1.0,,,0.1321315572631062,0.0,0.0,,,27.8326254651598,,0.0,,,,,1.0,32.84375,,0.0,,,,4.5714287757873535,0.0,,,92.37426076320932,,,1.0,11.53125,,
114.748094,,,,3200.0,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,29.9375,,,,,,,,,,0.11560411751270294,,,,,,,,,,,,,,,,,,,,,17.14285659790039,,,,,,,,,,,,,,,,,,,,,,,29.875,,,,,,,,,1.0,,,,,,,,,,,
114.760767,,,,3200.0,,,,,,,,,,0.0,,,,,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,34.875,,,,,,,,,,0.1341593712568283,,,,,,,,,,,,,,,,,,,,,17.14285659790039,,,,,,,,,,,,,,,,,,,,,,,34.8125,,,,,,,,,1.0,,,,,,,,,,,
114.745089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016030000000029077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.764984,,0.0,326.15128423235166,,25.28125,,,,20.842336861927485,0.5,8.71875,,,,0.0,,0.0,,,1.0,,25.9375,14.625,,0.008942432722818694,,,,37.5625,0.1265602558851242,0.051718711853027344,0.0,0.0,,0.5,,0.0,1.0,,,0.019895000000005325,-2.3909935041666053,,,,10.098425196850375,,,,,0.0,,,0.17700736224651337,0.0,,,0.0,92.36978954684791,1268.5714111328125,,5.142857551574707,,,,0.0,,31.822046185656234,,0.0,,0.0,,,,,1.0,,1.0,,6.549015689017688,10.098425196850375,,,1.0,,,0.15099928490334666,0.0,0.0,,,31.83993105110187,,0.0,,,,,1.0,31.46875,,0.0,,,,4.5714287757873535,0.0,,,92.37426076320932,,,1.0,6.59375,,
