TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Robot Front Tilt Angle,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Total Tilt Angle,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Side Tilt Angle,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,RIO Input Voltage,Main Loop Process Duration,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,degrees,cmd,color,cmd,deg,cmd,A,degrees,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,degrees,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,V,sec,bool,pct,cmd,fps,V,in,bool,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
163.997299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0186909999999898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164.105877,,8.0,358.946219847145,0.0,0.0,,,-1.0,,359.5681971401913,0.0,0.0,-0.6847775070091444,0.0,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,79.02831029999999,0.0,-1.0,0.0,3.0,0.0,0.0,0.044788360595703125,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.10857799999999429,-1.1449662728335372,0.0,0.0,,,9.52755905511809,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.9305159803185241,-0.0,13.05,-0.0,89.31522249299086,0.0,,,0.0,0.170166015625,0.0,,0.0,0.0,,-2.507708728654147E8,,-0.0,12.843782470703125,0.042853000000008024,1.0,,0.0,6.572701914940295,,9.52755905511809,1.0,0.0,,-0.18165529847464104,0.0,-1.0,0.0,0.380126953125,21.0,0.0,0.0,,0.0,0.4501953125,1.0,0.45622172951698303,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,
164.155357,,8.0,358.94795511071624,0.0,0.0,,,,,359.7130935300825,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.044788360595703125,0.0,0.0,,,0.0,0.0,0.0,,,0.049480000000016844,-1.1399718923771833,0.0,,,,9.488188976377932,,,,,0.0,,0.0,0.0,0.0,,0.0,0.9312426614540555,-0.0,,-0.0,,,,,0.0,,0.0,,,0.0,,-2.507708728654147E8,,-0.0,,0.021233999999992648,1.0,,0.0,6.572701914940295,,9.488188976377932,,0.0,,-0.18248549024248414,0.0,,0.0,,,0.0,0.0,,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,,,0.0,0.0,,
164.182299,,8.0,358.90197135460795,0.0,0.0,,,,,359.8090497638353,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.044788360595703125,0.0,0.0,,,0.0,0.0,0.0,,,0.02694199999999114,-1.1403581293755924,0.0,,,,9.468503937007853,,,,,0.0,,0.0,0.0,0.0,,0.0,0.9327781562648005,-0.0,,-0.0,,,,,0.0,,0.0,,,0.0,,-2.507708728654147E8,,-0.0,,0.02387999999999124,1.0,,0.0,6.572701914940295,,9.468503937007853,,0.0,,-0.18454482233230207,0.0,,0.0,,,0.0,0.0,,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,,,0.0,0.0,,
164.217676,,8.0,358.995765303065,0.0,0.0,,,,,359.71308923352035,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.044788360595703125,0.0,0.0,,,0.0,0.0,0.0,,,0.035377000000011094,-1.1392047475667497,0.0,,,,9.48818897637793,,,,,0.0,,0.0,0.0,0.0,,0.0,0.9354057545798189,-0.0,,-0.0,,,,,0.0,,0.0,,,0.0,,-2.507708728654147E8,,-0.0,,0.010153999999999996,1.0,,0.0,6.572701914940295,,9.48818897637793,,0.0,,-0.18433812707530894,0.0,,0.0,,,0.0,0.0,,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,,,0.0,0.0,,
164.236715,,8.0,358.947951080046,0.0,0.0,,,,,359.7609106507605,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.044788360595703125,0.0,0.0,,,0.0,0.0,0.0,,,0.019038999999992257,-1.1440712315680017,0.0,,,,9.468503937007853,,,,,0.0,,0.0,0.0,0.0,,0.0,0.936641604335619,-0.0,,-0.0,,,,,0.0,,0.0,,,0.0,,-2.507708728654147E8,,-0.0,,0.010446000000001732,1.0,,0.0,6.572701914940295,,9.468503937007853,,0.0,,-0.17864216769557142,0.0,,0.0,,,0.0,0.0,,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,,,0.0,0.0,,
164.25816,,8.0,358.9949489777169,0.0,0.0,,,,,359.521423210952,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.044788360595703125,0.0,0.0,,,0.0,0.0,0.0,,,0.021444999999999936,-1.143483428462247,0.0,,,,9.448818897637775,,,,,0.0,,0.0,0.0,0.0,,0.0,0.9364351432977684,-0.0,,-0.0,,,,,0.0,,0.0,,,0.0,,-2.507708728654147E8,,-0.0,,0.009917000000001508,1.0,,0.0,6.572701914940295,,9.448818897637775,,0.0,,-0.18135494038891714,0.0,,0.0,,,0.0,0.0,,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,,,0.0,0.0,,
164.27404,,8.0,358.799520206104,0.0,0.0,,,,,359.7599208395587,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.044788360595703125,0.0,0.0,,,0.0,0.0,0.0,,,0.015880000000009886,-1.1466966731685635,0.0,,,,9.488188976377932,,,,,0.0,,0.0,0.0,0.0,,0.0,0.9376424390853144,-0.0,,-0.0,,,,,0.0,,0.0,,,0.0,,-2.507708728654147E8,,-0.0,,0.009648999999996022,1.0,,0.0,6.572701914940295,,9.488188976377932,,0.0,,-0.1814623924553689,0.0,,0.0,,,0.0,0.0,,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,,,0.0,0.0,,
164.287345,,8.0,358.992389444366,0.0,0.0,,,,,359.9520209342567,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.044788360595703125,0.0,0.0,,,0.0,0.0,0.0,,,0.013304999999974143,-1.149663255480043,0.0,,,,9.52755905511809,,,,,0.0,,0.0,0.0,0.0,,0.0,0.9389964148728605,-0.0,,-0.0,,,,,0.0,,0.0,,,0.0,,-2.507708728654147E8,,-0.0,,0.011731000000025915,1.0,,0.0,6.572701914940295,,9.52755905511809,,0.0,,-0.18279306410691065,0.0,,0.0,,,0.0,0.0,,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,,,0.0,0.0,,
