TIME,Shooter Actual RPM,Right Intern Moter Current,Drivetrain Left Wheel Actual Speed,Is there a Ball at the Shooter End Conveyor,Battery Voltage,Distance Sensor Raw Voltage,Hopper Spark Left Current,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Shooter Desired RPM,Driver FwdRev Command,Drivetrain Left Wheel Desired Speed,Rotate to Color,Color Needed,Shooter State Command,Raspberry Pi Duration,Right Climber Current,Pneumatics Compressor Current,Hopper Spark Left Cmd,Speed Command for the Conveyor Motor,Raspberry Pi Angle,Climber Input Command,Raspberry Pi Stable Target,Hopper Spark Right Cmd,Driver Snail Mode Command,Main Loop Process Duration,Left Climber Current,botDesPoseY,roboRIO CPU Load,botDesPoseX,Distance Sensor Available,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Left Master Moter Current,Pneumatics Cutoff Switch State,Drivetrain Right Motor Output Duty Cycle,Raspberry Pi Framerate,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Panel 3.25 spin,Hopper Spark Right Current,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Driver Auto Align Command,DT_Pose_Angle,Intake Speed State,Main Loop Call Period,Shooter Motor 1 Current,Shooter Motor 2 Current,Color Sensor Green Intensity,roboRIO Sys Memory Load,Robot CAN Bus Utilization,Right Master Moter Current,Distance Sensor Distance,Climber Motor Command,Photon Cannon State,Robot Brownout,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,botActPoseT,Is there a ball at the Intake End of the Conveyor,Raspberry Pi Visible Target,botActPoseX,botActPoseY,Intake Position State,Battery Current Draw,Drivetrain Left Motor output Duty Cycle,Shooter Control Mode,Driver Rotate Command,Climber Upper Limit Switch,
sec,RPM,Amps,RPM,Boolean,V,V,Amp,Pct,boolean,intensity,RPM,cmd,RPM,degrees,Color,state,sec,Amp,A,Cmd,%,deg,cmd,boolean,Cmd,bool,sec,Amp,ft,Pct,ft,bool,deg,Amps,A,psi,RPM,Amps,bool,pct,fps,color,Amps,intensity,degrees,Amp,count,RPM,bool,deg,state,sec,A,A,intensity,Pct,pct,Amps,in,cmd,bool,bool,count,boolean,RPM,deg,Boolean,boolean,ft,ft,state,A,pct,state,cmd,boolean,
2578.139439,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07931300000018382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2578.257938,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.11849900000015623,,,,,,,,,,,,,,,,,,,,,,,0.0,,
2578.259178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2578.257938,-3.2870793802430853E-6,90.0625,3.2870502764126286E-6,1.0,11.350000000000001,,0.0,,-1.0,0.0,0.0,,0.0,0.0,-1.0,2.0,-1.0,,0.5,1.0,0.5,-1.0,0.0,0.0,1.0,,0.11157000000002881,0.0,,,,,,90.0625,,132.586654425,0.0,90.0625,0.0,6.103701889514923E-5,-1.0,-1.0,0.0,0.0,0.0,0.0,42.0,0.0,,0.0,,,85.9375,85.9375,0.0,,0.12286413460969925,90.0625,,0.0,,0.0,0.0,0.0,-3.2870502764126286E-6,,1.0,0.0,,,,0.0,-6.103701889514923E-5,2.0,,-1.0,
2578.370335,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.11239699999987351,,,,,,,,,,,,,,,,,,,,,,,0.0,,
2578.370531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2578.370335,-3.2870793802430853E-6,90.0625,3.2870502764126286E-6,1.0,11.5,,0.0,79.52319455810148,-1.0,0.0,0.0,,0.0,0.0,-1.0,2.0,-1.0,,9.4375,1.0,0.5,-1.0,0.0,0.0,1.0,,0.07352099999980055,0.0,,74.5,,,,90.0625,,132.6324307875,0.0,90.0625,0.0,6.103701889514923E-5,-1.0,-1.0,0.0,0.0,0.0,0.0,44.0,0.0,,0.0,,,85.9375,85.9375,0.0,92.8,0.12719739973545074,90.0625,,0.0,,0.0,0.0,0.0,-3.2870502764126286E-6,,1.0,0.0,,,,0.0,-6.103701889514923E-5,2.0,,-1.0,
2578.444807,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.07447199999978693,,,,,,,,,,,,,,,,,,,,,,,0.0,,
2578.446468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
