TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Motor 2 Speed,Shooter Desired Speed,Right Intern Moter Current,Robot Front Tilt Angle,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Shooter Motor 1 Speed,Hopper Motor Right Current,Total Tilt Angle,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Shooter Motor 2 Percent,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Shooter Motor 2 in Voltage,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Photon Cannon State,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Battery Current Draw,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Drivetrain Left Wheel Actual Speed,Shooter Motor 1 in Voltage,Battery Voltage,Robot Side Tilt Angle,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,RPM,A,degrees,cmd,color,cmd,deg,cmd,RPM,A,degrees,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,pct,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,V,sec,deg,A,degrees,pct,bool,in,bool,bool,deg,ft,ft,A,bool,A,pct,pct,cmd,state,deg,RPM,V,V,degrees,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,sec,bool,pct,cmd,fps,in,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,sat,bool,pct,A,cmd,A,count,bool,RPM,bool,A,deg,bool,state,A,bool,
29.298446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031267000000003264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.419138,0.0,0.0,358.36754526720415,0.0,0.0,0.0,,0.0,-1.0,0.0,0.1920278647424475,0.0,-0.0,0.0,0.24696303742625503,10.53125,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,77.88390123749998,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.043645381927490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.6328125,0.1206920000000018,-0.9733847735813969,0.0,0.0,,0.0,8.956692913385833,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.16793498271030896,-0.0,12.6875,12.65,90.24696303742626,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08084699999999856,1.0,,0.0,6.547799059270927,8.956692913385833,0.0,0.0,0.22703698667206404,0.0,-1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4662468135356903,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29.505044,0.0,0.0,0.04627360448385964,0.0,0.0,0.0,,0.0,-1.0,0.0,1.0180727593862917,0.0,-0.0,0.0,0.23290838992052443,8.4375,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,77.83812487499999,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.043645381927490234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.625,0.08590600000000137,-0.9605070809489379,0.0,0.0,,0.0,8.97637795275591,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.16836369904730442,-0.0,12.6796875,12.65,90.23290838992052,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03719199999999745,1.0,,0.0,6.547799059270927,8.97637795275591,0.0,0.0,0.22733582181708523,0.0,-1.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5105436444282532,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29.549393,0.0,0.0,359.67056075316003,0.0,0.0,0.0,,0.0,-1.0,0.0,1.5061727770552475,0.0,-0.0,0.0,0.23196545129820834,8.34375,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,77.83812487499999,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0434873104095459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.5546875,0.04434899999999686,-0.9543641602068725,0.0,0.0,,0.0,8.996062992125989,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.16666500043924506,-0.0,12.609375,12.65,90.23196545129821,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029474000000000444,1.0,,0.0,6.49471123546964,8.996062992125989,0.0,0.0,0.23247700031001536,0.0,-1.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5000248551368713,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29.58311,0.0,0.0,359.10786889403107,0.0,0.0,0.0,,0.0,-1.0,0.0,0.8921310237703116,0.0,-0.0,0.0,0.47945139879657006,8.28125,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,78.11278305,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0434873104095459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.609375,0.033717000000002884,-0.9559301354271278,0.0,0.0,,0.0,9.035433070866146,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.16497879340627752,-0.0,12.6953125,12.65,90.47945139879657,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03378399999999715,1.0,,0.0,6.49471123546964,9.035433070866146,0.0,0.0,0.2300116410980562,0.0,-1.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47002112865448,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29.625809,0.0,0.0,0.6484033610155259,0.0,0.0,0.0,,0.0,-1.0,0.0,0.5094556224245925,0.0,-0.0,0.0,-1.198481650118481,8.375,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,77.9754539625,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0434873104095459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.5859375,0.04269899999999893,-0.9557560471657818,0.0,0.0,,0.0,9.074803149606304,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.16446867477379823,-0.0,12.6640625,12.6,88.80151834988152,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03302499999999853,1.0,,0.0,6.49471123546964,9.074803149606304,0.0,0.0,0.22441302471880506,0.0,-1.0,0.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46624308824539185,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29.714925,0.0,0.0,0.424381129019175,0.0,0.0,0.0,,0.0,-1.0,0.0,0.6130010537750619,0.0,-0.0,0.0,-1.958067429234049,8.53125,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,78.11278305,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.04794478416442871,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.5390625,0.08911600000000064,-0.9659920331407263,0.0,0.0,,0.0,9.035433070866146,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.1704139656651276,-0.0,12.6328125,12.700000000000001,88.04193257076595,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09300999999999959,1.0,,0.0,6.6357064996416595,9.035433070866146,0.0,0.0,0.2178984086465459,0.0,-1.0,0.0,0.0,72.0,0.0,1.8067761033665648,0.0,0.0,0.0,1.0,0.485492467880249,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29.814052,0.0,0.0,357.22748312380764,0.0,0.0,0.0,,0.0,-1.0,0.0,0.34035365897367853,0.0,-0.0,0.0,-34.20882801375255,8.46875,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,78.20433577500002,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.04794478416442871,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,11.8671875,0.0991269999999993,-0.979815183246496,0.0,0.0,,0.0,9.015748031496067,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-0.25992020919191067,0.0,0.16598062422434476,-0.0,11.96875,12.700000000000001,55.79117198624745,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031586999999998255,1.0,,0.0,6.6357064996416595,9.015748031496067,0.0,0.0,0.22132128647790644,0.0,-1.0,0.0,0.0,37.0,0.0,1.8067761033665648,0.0,0.0,0.0,1.0,0.44357702136039734,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29.857912,0.0,0.0,356.82389911280484,0.0,0.0,59.53125,,0.0,-1.0,0.0,44.27503602817633,0.0,-0.0,0.0,-1.494333591266539,7.71875,0.0,0.0,0.0,0.0,0.0,,,0.0,,60.71875,0.0,78.5247703125,0.0,2.0,0.0,0.0,3.0,62.375,-0.26755577325820923,0.046851158142089844,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,10.921875,0.04385999999999868,-0.7746233379829999,0.0,0.0,,0.0,8.996062992125989,0.0,0.0,,,,0.0,0.0,11.125,0.0,0.287209689617157,-0.44473386687571076,0.0,-0.10113538901130922,10.85714340209961,10.8984375,10.75,88.50566640873346,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03758099999999942,1.0,,0.0,6.509538560866138,8.996062992125989,0.0,0.0,1.0006412209414155,0.0,-1.0,0.0,0.0,142.0,0.0,1.921363982612203,0.0,0.0,0.0,1.0,0.5314666628837585,60.9375,0.0,0.0,0.0,1.0,-6.857142925262451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
