TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Desired Speed,Right Intern Moter Current,Robot Front Tilt Angle,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Hopper Motor Right Current,Total Tilt Angle,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Driver Auto Align and Shoot Command,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Intake Fault,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Intake Motor Speed,Robot Battery Voltage,Drivetrain Left Wheel Actual Speed,Robot Side Tilt Angle,Robot Battery Current Draw,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,RIO Input Voltage,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,RIO 3V Supply Voltage,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,Operator Controller Shot Speed Increment,Driver Auto Align Close and Shoot Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Operator Controller Shot Speed Decrement,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,RIO 6V Supply Voltage,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Driver Auto Align Only Command,RIO 5V Supply Voltage,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,A,degrees,cmd,color,cmd,deg,cmd,A,degrees,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,sec,deg,A,degrees,pct,bool,in,bool,deg,ft,ft,A,bool,pct,pct,bits,cmd,state,deg,RPM,V,RPM,degrees,A,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,sec,V,bool,pct,cmd,fps,V,in,bool,bool,bool,bool,deg,bool,color,A,sat,count,RPM,deg,bool,A,bool,sat,bool,pct,A,cmd,A,V,count,bool,RPM,bool,A,deg,bool,V,state,A,bool,
42.809405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021385000000002208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.896631,0.0,0.0,358.6098332121037,0.0,0.0,,0.0,,0.0,359.9041357135618,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04710578918457031,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.08722600000000114,-1.209914516854698,0.0,,,0.0,8.66141732283467,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3078194870328985,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,0.02871499999999827,,1.0,,0.0,6.520913918981107,,8.66141732283467,,0.0,0.0,0.0,-0.4651364422828203,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
42.934947,0.0,0.0,358.65775778278606,0.0,0.0,,0.0,,0.0,359.80826822177875,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.04710578918457031,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.03831600000000179,-1.2092083041220676,0.0,,,0.0,8.582677165354355,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3093265538460857,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,0.024132999999999072,,1.0,,0.0,6.520913918981107,,8.582677165354355,,0.0,0.0,0.0,-0.4630480236256511,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
42.966094,0.0,0.0,358.70134207249214,0.0,0.0,,0.0,-1.0,0.0,359.7114327750611,0.0,0.0,-0.4547188616931379,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,110.41348214285713,0.0,-1.0,0.0,3.0,0.0,0.0,0.04710578918457031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.03114699999999715,-1.2120951259381765,0.0,0.0,,0.0,8.562992125984277,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.316800581098832,-0.0,12.9,-0.0,89.54528113830686,0.0,0.0,,1.0,0.180908203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.06648300000000518,12.705568115234374,1.0,,0.0,6.520913918981107,,8.562992125984277,1.0,0.0,0.0,0.0,-0.4625804969997024,0.0,0.0,0.0,0.3857421875,119.0,0.0,0.0,0.0,0.0,0.0,0.433837890625,1.0,0.45926177501678467,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
43.043302,0.0,0.0,358.5607102902475,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.0482785701751709,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.07720799999999883,-1.2141635669614406,0.0,,,0.0,8.622047244094514,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3171759560438867,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,0.013758000000002824,,1.0,,0.0,6.53821476338491,,8.622047244094514,,0.0,0.0,0.0,-0.46508697273416966,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
43.066889,0.0,0.0,358.60633830953486,0.0,0.0,,0.0,,0.0,359.8558420914728,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.0482785701751709,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.023587000000006242,-1.2145707906076286,0.0,,,0.0,8.602362204724436,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3190106118680625,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,0.013676999999994166,,1.0,,0.0,6.53821476338491,,8.602362204724436,,0.0,0.0,0.0,-0.46401905336793847,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
43.086719,0.0,0.0,358.6509799025707,0.0,0.0,,0.0,,0.0,359.9518250771846,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.0482785701751709,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.019829999999998904,-1.2152535719594304,0.0,,,0.0,8.641732283464593,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.318990876483447,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,0.010905000000001053,,1.0,,0.0,6.53821476338491,,8.641732283464593,,0.0,0.0,0.0,-0.46462838011604496,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
43.104551,0.0,0.0,358.79951008737567,0.0,0.0,,0.0,,0.0,359.9519838323786,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.0482785701751709,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.017831999999998516,-1.2135144404535287,0.0,,,0.0,8.661417322834673,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3206300523076229,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,0.011592999999997744,,1.0,,0.0,6.53821476338491,,8.661417322834673,,0.0,0.0,0.0,-0.4629778335893855,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
43.124429,0.0,0.0,359.0387569431257,0.0,0.0,,0.0,,0.0,359.80775998052246,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,-1.0,,3.0,0.0,0.0,0.0482785701751709,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.019877999999998508,-1.208536633518722,0.0,,,0.0,8.602362204724436,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.323441546813117,-0.0,,-0.0,,,0.0,,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,-0.0,0.018231999999997583,,1.0,,0.0,6.53821476338491,,8.602362204724436,,0.0,0.0,0.0,-0.4675516218550194,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
