TIME,Operator Controller Unjam Command,Ball Counter Ball Count,IMU Filtered X Angle,Shooter Motor 2 Speed,Shooter Desired Speed,Right Intern Moter Current,Robot Front Tilt Angle,Driver FwdRev Command,Control Panel State Machine Game Data Color Command,Operator Controller Climb Speed Command,IMU Filtered Y Angle,Hopper Motor Left Cmd,Shooter Motor 1 Speed,Hopper Motor Right Current,Total Tilt Angle,Pneumatics Compressor Current,Shots Taken,Climber Input Command,Operator Controller Shoot Command,Control Panel Actual Angle,Climber Motor 2 Current,botDesPoseY,botDesPoseX,Drivetrain Op Mode,botDesPoseT,Left Intern Moter Current,Intake Motor Current,Pneumatics Main System Pressure,Drivetrain Heading Correction Command,Shooter Wheel Current Control Mode,Shooter Motor 2 Percent,Control Panel Desired Angle,Shooter Input Mode Command,Left Master Moter Current,Drivetrain Right Motor Output Duty Cycle,Vision Raspberry Pi Duration,Conveyor Motor Speed Command,Vision Raspberry Pi Visible Target,Operator Controller Eject Desired Command,Control Panel State Machine 3.25 spin,Hopper Motor Right Cmd,Conveyor Intake End Ball Present,Intake Speed State,Ball Distance Sensor Raw Voltage,Operator Controller Ctrl Panel Three Rotations Command,Shooter Motor 2 in Voltage,Main Loop Call Period,IMU Comp X Angle,Shooter Motor 1 Current,Control Panel State Machine Rotate to Color,roboRIO Sys Memory Load,Operator Controller Photon Cannon Command,Ball Counter Sensor Distance,Photon Cannon State,Robot Brownout,botActPoseT,botActPoseX,botActPoseY,Climber Motor 1 Current,Battery Current Draw,Shooter Motor 1 Percent,Drivetrain Left Motor output Duty Cycle,Driver Rotate Command,Climber Upper Limit Switch,Drivetrain Pose Angle,Drivetrain Left Wheel Actual Speed,Shooter Motor 1 in Voltage,Battery Voltage,Robot Side Tilt Angle,Operator Controller Prep to Shoot Command,roboRIO JVM Memory Load,Climber Lower Limit Switch,Color Sensor Blue Intensity,Drivetrain Left Wheel Desired Speed,Operator Controller Climb Enable Command,Control Panel Motor Current,Ball Counter Ball Height State,Operator Controller Ctrl Panel Seek To Color Command,Conveyor Position,Driver Snail Mode Command,Shooter Actual Speed,Main Loop Process Duration,Ball Distance Sensor Available,roboRIO CPU Load,Intake Speed Command,Vision Raspberry Pi Framerate,Ball Distance Sensor Distance,Pneumatics Cutoff Switch State,Intake Solenoid Command,IMU Comp Y Angle,Vision Raspberry Pi Stable Target,Color Sensor Match Color,Conveyor Motor Current,Color Sensor Red Intensity,Dataserver File Logger Queue Length,Drivetrain Right Wheel Desired Speed,Driver Auto Align Command,Vision Raspberry Pi Angle,Operator Controller Intake Desired Command,Shooter Motor 2 Current,Color Sensor Green Intensity,Vision Raspberry Pi Vision System Online,Robot CAN Bus Utilization,Right Master Moter Current,Climber Motor Command,PDP Cooling Fans Current,Dataserver Stored Samples,Shooter Under Load,Drivetrain Right Wheel Actual Speed,Conveyor Shooter End Ball Present,PDP Upper Board Current,Drivetrain Desired Heading,Intake Position State,Hopper Motor Left Current,Driver Flip Front/Back Command,
sec,bool,count,deg,RPM,RPM,A,degrees,cmd,color,cmd,deg,cmd,RPM,A,degrees,A,balls,cmd,bool,deg,A,ft,ft,mode,deg,A,A,psi,RPM,state,pct,deg,state,A,pct,sec,pct,bool,bool,degrees,cmd,bool,state,V,bool,V,sec,deg,A,degrees,pct,bool,in,bool,bool,deg,ft,ft,A,A,pct,pct,cmd,state,deg,RPM,V,V,degrees,bool,pct,state,sat,RPM,bool,A,heightState,bool,feet,bool,RPM,sec,bool,pct,cmd,fps,in,bool,bool,deg,bool,color,A,sat,count,RPM,bool,deg,bool,A,sat,bool,pct,A,cmd,A,count,bool,RPM,bool,A,deg,state,A,bool,
221.713656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015224000000017668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221.755403,0.0,5.0,359.2826485029415,0.0,0.0,0.0,,0.0,-1.0,0.0,359.80871084944465,0.0,-0.0,0.0,-0.4583564580004378,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,75.3204249375,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.044617414474487305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.125,0.04174700000001508,-0.7781052610014103,0.0,0.0,,0.0,8.877952755905529,0.0,0.0,,,,0.0,0.0,0.0,0.0,-0.0,0.0,66.41097926565402,-0.0,13.21875,13.200000000000001,89.54164354199956,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7690464457483604E10,0.0,0.0,0.03023600000000215,1.0,,0.0,7.370673733378086,8.877952755905529,1.0,0.0,-0.3186413247528424,1.0,-1.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45994821190834045,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.395264507860475,0.0,0.0,0.0,
221.791972,0.0,5.0,359.33380821913005,0.0,0.0,0.0,,0.0,-1.0,0.0,359.7144944413817,0.0,-0.0,0.0,-0.22826883015341082,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,75.41197766250001,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.044617414474487305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.1171875,0.03656899999998586,-0.7794556053608714,0.0,0.0,,0.0,8.917322834645686,0.0,0.0,,,,0.0,0.0,0.0,0.0,-0.0,0.0,66.41202097642325,-0.0,13.2109375,13.200000000000001,89.77173116984659,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7690464457483604E10,0.0,0.0,0.021621000000010326,1.0,,0.0,7.370673733378086,8.917322834645686,1.0,0.0,-0.31858003439400245,1.0,-1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.535622239112854,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.395264507860475,0.0,0.0,0.0,
221.821376,0.0,5.0,359.52255028491896,0.0,0.0,0.0,,0.0,-1.0,0.0,359.7612771735013,0.0,-0.0,0.0,-0.2255727696340557,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,75.41197766250001,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.044617414474487305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.1171875,0.02940399999999954,-0.7793932378090243,0.0,0.0,,0.0,8.917322834645686,0.0,0.0,,,,0.0,0.0,0.0,0.0,-0.0,0.0,66.41226437959786,-0.0,13.2265625,13.200000000000001,89.77442723036594,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7690464457483604E10,0.0,0.0,0.01744700000000421,1.0,,0.0,7.370673733378086,8.917322834645686,1.0,0.0,-0.31946531353033547,1.0,-1.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4612284302711487,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.395264507860475,0.0,0.0,0.0,
221.844314,0.0,5.0,359.139204006062,0.0,0.0,0.0,,0.0,-1.0,0.0,359.7130775418971,0.0,-0.0,0.0,-0.226464352341182,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,75.3662013,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.044617414474487305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.125,0.02293800000001056,-0.7803071836479905,0.0,0.0,,0.0,8.937007874015766,0.0,0.0,,,,0.0,0.0,0.0,0.0,-0.0,0.0,66.41350877163693,-0.0,13.21875,13.200000000000001,89.77353564765882,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7690464457483604E10,0.0,0.0,0.020649999999989177,1.0,,0.0,7.370673733378086,8.937007874015766,1.0,0.0,-0.3181007590434315,1.0,-1.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47253361344337463,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.395264507860475,0.0,0.0,0.0,
221.873828,0.0,5.0,359.2348265855039,0.0,0.0,0.0,,0.0,-1.0,0.0,0.04782191728096615,0.0,-0.0,0.0,-0.45292162896119237,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,75.41197766250001,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0441746711730957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.1171875,0.029514000000006035,-0.7841400305918176,0.0,0.0,,0.0,8.956692913385844,0.0,0.0,,,,0.0,0.0,0.0,0.0,-0.0,0.0,66.41517602799834,-0.0,13.2265625,13.200000000000001,89.54707837103881,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7690464457483604E10,0.0,0.0,0.017744999999990796,1.0,,0.0,7.194605637595865,8.956692913385844,1.0,0.0,-0.31719190063805935,1.0,-1.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.46333804726600647,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.395264507860475,0.0,0.0,0.0,
221.898611,0.0,5.0,359.23866528277375,0.0,0.0,0.0,,0.0,-1.0,0.0,359.52417430396406,0.0,-0.0,0.0,-0.45653041409904915,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,75.3662013,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0441746711730957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.1171875,0.024782999999985122,-0.7883361096775157,0.0,0.0,,0.0,8.937007874015766,0.0,0.0,,,,0.0,0.0,0.0,0.0,-0.0,0.0,66.41612706599591,-0.0,13.2265625,13.200000000000001,89.54346958590095,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7690464457483604E10,0.0,0.0,0.025119000000017877,1.0,,0.0,7.194605637595865,8.937007874015766,1.0,0.0,-0.31640855969772047,1.0,-1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.498963862657547,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.395264507860475,0.0,0.0,0.0,
221.928857,0.0,5.0,359.33048258107976,0.0,0.0,0.0,,0.0,-1.0,0.0,359.569601662783,0.0,-0.0,0.0,-0.4547188616931379,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,75.3204249375,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0441746711730957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.125,0.030246000000005324,-0.7868244280666267,0.0,0.0,,0.0,8.877952755905529,0.0,0.0,,,,0.0,0.0,0.0,0.0,-0.0,0.0,66.41593792235733,-0.0,13.21875,13.200000000000001,89.54528113830686,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7690464457483604E10,0.0,0.0,0.015756000000010317,1.0,,0.0,7.194605637595865,8.877952755905529,1.0,0.0,-0.3198379631831185,1.0,-1.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47936829924583435,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.395264507860475,0.0,0.0,0.0,
221.950983,0.0,5.0,359.32879803859976,0.0,0.0,0.0,,0.0,-1.0,0.0,359.61646189493894,0.0,-0.0,0.0,-0.4547188616931379,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,75.3662013,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0441746711730957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.1171875,0.0221260000000143,-0.78735784144935,0.0,0.0,,0.0,8.917322834645686,0.0,0.0,,,,0.0,0.0,0.0,0.0,-0.0,0.0,66.4165470343964,-0.0,13.2265625,13.200000000000001,89.54528113830686,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7690464457483604E10,0.0,0.0,0.015593999999993002,1.0,,0.0,7.194605637595865,8.917322834645686,1.0,0.0,-0.3190450021985728,1.0,-1.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4985541105270386,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,49.395264507860475,0.0,0.0,0.0,
